,lang,author,date,hashtag,text,number_of_likes,number_of_follower,number_of_retweets
0,en,Isabel Beiboer # WelcomeHomeNazanin,Mon Jun 06 17:16:13 +0000 2022,,RT rprose The clear lesson is Dont rely on indirect international pressure Youve got to be able to defeat the adversarys ability to,5442,40,398
1,de,Heike 🇪🇺🔴🌈🇩🇪🇺🇦,Mon Jun 06 17:16:13 +0000 2022,,Erstmals moderne Panzer Spanien will offenbar Leopard 2An die Ukraine liefern ,113897,1113,0
