,lang,author,date,hashtag,text,number_of_likes,number_of_follower,number_of_retweets
0,de,nowucme🧘‍♂️💉💉💉#StandWithUkraine 🇺🇦,Mon Jun 06 18:13:59 +0000 2022,,@Pfantomaus Er hätte über die Ukraine und Ungarn fliegen können - also falls er Ungarn erreicht hätte 😈 https://t.co/FLkCVTX8Je,175082,344,0
1,en,Шоу Дронов,Mon Jun 06 18:13:59 +0000 2022,,"RT @5thSu: A 🇷🇺 Kamov Ka-52 giving escort to Russian Convoy !
The crew of the Ka-52 combat helicopter greets our soldiers at an extremely l…",7023,32,18
