,lang,author,date,hashtag,text,number_of_likes,number_of_follower,number_of_retweets
0,en,Alexander Valchyshen,Thu May 26 18:44:09 +0000 2022,,RT Flash43191300 In Kharkiv as a result of todays shelling eight people were killed the body of a fivemonthold baby was found Th,35808,3123,7
1,en,HawkeyePie 🚜🇺🇦🇺🇦🇪🇺,Thu May 26 18:44:08 +0000 2022,Ukraine,RT nextatv The Orthodox Church of Ukraine has called for the deprivation of the title of patriarch Kirill The head of the PCU Epiphan,7404,82,69
