,lang,author,date,hashtag,text,number_of_likes,number_of_follower,number_of_retweets
0,en,graffity_X,Sun Jun 05 13:46:17 +0000 2022,,"@JohnDaarion @visegrad24 good news. Maybe they won't deliver heavy weapons to Ukraine, but the likelihood of defending Poland (or better help) against Russia is 100x bigger than defending Russia",73300,114,0
1,en,agata kvasting,Sun Jun 05 13:46:17 +0000 2022,,"RT @anders_aslund: 11. Ukraine, by contrast, has an unlimited number of patriotic &amp; motivated soldiers, though many need more training for…",22957,58,2
